BJD_TDB flux_star_0 flux_star_1 flux_star_2 flux_star_3 flux_star_4 flux_star_5 flux_star_6 flux_star_7 flux_star_8 sky airmass xshift yshift sky_entropy
2459332.3644276466 1932779.9020970769 367012.9498970366 330000.22893704404 127958.39348414307 35712.19128463746 24643.946108313103 18984.741902151174 21177.578653154254 14027.191456916044 28.379752782455338 1.217 -1.0201355899425195 -5.0534019698175285 6.732330447488684
2459332.364612976 1927605.0800206983 365726.9101074001 326428.9980821712 124698.0941363252 34613.46768501529 24836.394292454817 18348.86642392029 20072.78859728691 13603.11320178237 28.77986349220342 1.217 0.02963546228603775 -6.495540744472642 6.726684327295646
2459332.3647983666 1949436.278321822 373264.80396049283 330555.2240994684 127553.89274455767 35455.27156150955 24452.017129830652 18935.403261818734 20824.903686641614 13849.240812809032 26.534828132615132 1.217 0.9606985831358585 -6.4155225145381465 6.707344280455677
2459332.3649837337 1994220.7265635165 379467.56750621373 335980.92693763546 129521.56009953706 37309.79015345455 24028.50870847916 19321.752807564015 21264.61503899262 13659.925730987394 25.086296931732434 1.216 2.3718596887814556 -6.762346153959619 6.704574504323439
2459332.3651691144 2028724.7675102116 387975.7684507183 345099.1215125358 131470.171223381 37331.696358166824 25571.447722029363 20669.782347452012 21337.21084415888 14512.40667277851 24.975725536596023 1.216 2.8910162264576016 -7.347350790718657 6.681301617763002
2459332.3653544807 2022547.1313135447 382274.65903705556 340835.82308423606 130669.32528388883 37255.733424648264 25280.94423662554 20241.951616913284 20766.09415931454 14119.820815073443 24.774655868914287 1.216 1.0023645537707466 -5.636067819904014 6.660493219648702
2459332.36554037 2035982.5271939319 386127.3067669573 345690.6259235634 132847.59980126604 37585.67050863328 25311.878435034334 19777.498886878297 21221.877711631532 13344.458587790868 24.096917839359822 1.216 -1.66627605406903 -6.424899484046101 6.657993052554667
2459332.3657256262 1975751.91294748 376641.7533458519 334180.8257091524 127744.19247386411 37077.03348515046 24720.22808678652 19305.149642425997 19803.515794350868 13520.954279833313 25.141902092457876 1.216 -2.879594939245557 -7.073449003763699 6.716411892826267
2459332.36591094 2016407.2193189105 381829.46247769956 344981.4727191258 131512.23426737642 36524.3998629274 25331.700801416475 19210.402324928247 20940.46617251796 14432.338772925039 23.633205320041647 1.215 -4.722585211105468 -6.789655745057409 6.672912487516863
2459332.3660964835 2071865.7707919106 395405.5909572433 354341.1825717545 136119.76803360105 37127.37683133541 26064.707490257395 20245.163180069096 22543.613140299145 14851.902249625506 23.326030632652326 1.215 -4.392856337895225 -6.565929413914439 6.630601200417489
2459332.3662818535 2085835.5328422317 395148.3950705748 353766.36366032454 135960.89566792408 38259.5201173299 26611.77431367275 20758.06656581041 21760.669008915705 14117.084038044733 23.260511901607877 1.215 -4.0710206448410275 -6.8730345433257725 6.600657271642048
2459332.3664672105 1999418.8467340062 377439.6527210927 342047.7621334208 131115.6973048934 36689.79273547555 25610.922335031748 21114.57391319894 21194.619337658558 13548.78749407675 23.508266575395904 1.215 -2.756967181783864 -6.458735921944758 6.714524143228902
2459332.3666528035 2055869.1471559813 392575.00385477673 350864.4880422764 133963.1527688029 38324.52929766015 25198.68748390497 21246.00879916687 21327.94507745336 14493.682008631222 22.621158404130885 1.215 -0.27455514432968897 -6.483272402492027 6.6326840334670685
2459332.366838693 2053245.8923683933 389618.24870762083 350076.2205191187 133981.49377501535 37259.95211778107 25683.528879073623 20757.73235896614 21382.223707570418 14150.208484725255 22.44343049885151 1.214 1.2862337352934858 -6.496396472036345 6.651472706711243
2459332.367024229 2095156.8141864885 396252.8859807039 355981.0534600438 136616.95195269678 38820.6357361079 25875.088721846085 20406.29890274073 21534.68914161368 14831.104258428648 22.46108898797139 1.214 1.5901255283028704 -6.1717971436269465 6.6122236107386865
2459332.367209692 2012731.5672424706 382447.0385663664 342656.39040848555 131209.50351052877 36265.4040449078 25027.525832727406 20301.378379781105 21307.50745412 14378.881197508541 22.284889226778958 1.214 2.1778349587274093 -6.931815972131588 6.687945492352072
2459332.367395069 2024526.408725398 383611.66150670056 343983.91588697874 132543.66422382343 37614.150069356474 25081.814959120078 20529.96641335664 21304.753731739795 14780.355953198887 22.15057266498155 1.214 0.45555662263681285 -8.448778914718446 6.675852501969748
2459332.3675810713 1953380.3205503377 371666.19161588966 334006.6905817512 127316.31297246346 35545.36086645187 24153.586010166633 19549.218934818462 20676.516406023744 14123.099279210946 22.11223738952854 1.214 -1.2170763811449206 -6.404820332908827 6.7889287464668024
2459332.3677662807 1960041.5913109202 371351.3109759338 335306.9422396546 128742.620056452 36046.67756515324 25452.12524518468 20056.084236398106 21211.006418865727 13449.769158743598 22.36385918425518 1.213 -2.663346798723069 -5.2285454635378485 6.728953598019956
