pl_name,default_flag,soltype,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_age,st_ageerr1,st_ageerr2,st_agelim,sy_jmag,sy_jmagerr1,sy_jmagerr2
Kepler-1151 b,1,Published Confirmed,65.64784240,0.00040100,-0.00040100,0,,,,,,,,,2.220,0.240,-0.170,0,0.198,0.021,-0.015,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,0.08,-0.06,0,0.88,0.05,-0.06,0,-0.110,0.166,-0.187,0,4.370,5.890,-2.710,0,13.6100000,0.0370000,-0.0370000
Kepler-1152 b,1,Published Confirmed,1.64680191,0.00000267,-0.00000267,0,,,,,,,,,0.870,0.050,-0.060,0,0.078,0.004,-0.005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,0.03,-0.03,0,0.55,0.04,-0.03,0,-0.250,0.136,-0.108,0,3.470,5.260,-1.860,0,12.4950000,0.0230000,-0.0230000
Kepler-1153 b,1,Published Confirmed,1.75583533,0.00000439,-0.00000439,0,,,,,,,,,1.730,0.210,-0.110,0,0.154,0.019,-0.010,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,0.10,-0.05,0,0.91,0.04,-0.04,0,0.030,0.126,-0.164,0,4.570,6.170,-2.880,0,14.4600000,0.0370000,-0.0370000
Kepler-1154 b,1,Published Confirmed,5.18561420,0.00002676,-0.00002676,0,,,,,,,,,2.340,1.060,-0.490,0,0.209,0.095,-0.044,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,0.65,-0.29,0,1.26,0.25,-0.16,0,0.040,0.140,-0.161,0,2.290,1.280,-0.780,0,13.7060000,0.0210000,-0.0210000
Kepler-1154 c,1,Published Confirmed,8.45808312,0.00004757,-0.00004757,0,,,,,,,,,2.360,0.950,-0.490,0,0.211,0.085,-0.044,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,0.65,-0.29,0,1.26,0.25,-0.16,0,0.040,0.140,-0.161,0,2.290,1.280,-0.780,0,13.7060000,0.0210000,-0.0210000
Kepler-1155 b,1,Published Confirmed,33.46974300,0.00020030,-0.00020030,0,,,,,,,,,2.030,0.450,-0.200,0,0.181,0.040,-0.018,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,0.22,-0.10,0,1.03,0.07,-0.06,0,0.040,0.141,-0.156,0,3.720,2.800,-2.050,0,13.5870000,0.0220000,-0.0220000
Kepler-1156 b,1,Published Confirmed,11.89520511,0.00006499,-0.00006499,0,,,,,,,,,1.320,0.140,-0.090,0,0.118,0.012,-0.008,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.09,-0.06,0,1.00,0.03,-0.04,0,0.020,0.096,-0.095,0,4.470,3.000,-2.380,0,13.0500000,0.0230000,-0.0230000
Kepler-1157 b,1,Published Confirmed,4.45743164,0.00001699,-0.00001699,0,,,,,,,,,1.090,0.040,-0.200,0,0.097,0.004,-0.018,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,0.03,-0.03,0,0.76,0.03,-0.04,0,0.050,0.147,-0.177,0,3.390,6.100,-1.760,0,12.6830000,0.0220000,-0.0220000
Kepler-1158 b,1,Published Confirmed,13.53962930,0.00009329,-0.00009329,0,,,,,,,,,2.340,0.460,-0.460,0,0.209,0.041,-0.041,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,0.37,-0.38,0,1.41,0.13,-0.13,0,0.180,0.096,-0.100,0,2.880,0.550,-0.550,0,12.5480000,0.0220000,-0.0220000
Kepler-1159 b,1,Published Confirmed,22.70816791,0.00009541,-0.00009541,0,,,,,,,,,2.370,1.030,-0.370,0,0.211,0.092,-0.033,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,0.56,-0.20,0,1.19,0.17,-0.11,0,0.040,0.139,-0.148,0,2.750,1.080,-1.070,0,13.4730000,0.0230000,-0.0230000
