pl_name,default_flag,soltype,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,sy_dist,sy_disterr1,sy_disterr2,sy_jmag,sy_jmagerr1,sy_jmagerr2
Kepler-1460 b,1,Published Confirmed,29.96332470,0.00021860,-0.00021860,0,,,,,1.960,0.140,-0.130,0,0.175,0.012,-0.012,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4422.00,43.62,-45.02,0,0.67,0.02,-0.04,0,0.70,0.03,-0.05,0,-0.020,0.180,-0.172,0,,,,,4.64,0.02,-0.03,0,3.980,5.950,-2.270,0,,,,,553.2180000,9.9390000,-9.6010000,14.0930000,0.0310000,-0.0310000
Kepler-1461 b,1,Published Confirmed,29.34947750,0.00018320,-0.00018320,0,,,,,2.030,0.090,-0.160,0,0.181,0.008,-0.014,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4919.00,49.81,-58.16,0,0.74,0.03,-0.04,0,0.79,0.04,-0.05,0,-0.040,0.174,-0.174,0,,,,,4.60,0.02,-0.04,0,3.240,6.560,-1.660,0,,,,,679.1060000,14.1350000,-13.5810000,14.1370000,0.0260000,-0.0260000
Kepler-1462 b,1,Published Confirmed,65.64883410,0.00066210,-0.00066210,0,,,,,3.820,0.820,-0.390,0,0.341,0.073,-0.035,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5756.00,144.59,-206.50,0,1.00,0.21,-0.10,0,1.00,0.07,-0.07,0,0.060,0.146,-0.142,0,,,,,4.45,0.07,-0.16,0,4.070,3.600,-2.340,0,,,,,1017.8200000,49.5200000,-45.1960000,14.4710000,0.0290000,-0.0290000
Kepler-1463 b,1,Published Confirmed,25.15864000,0.00051230,-0.00051230,0,,,,,1.860,0.330,-0.190,0,0.166,0.029,-0.017,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5679.00,93.91,-125.80,0,0.95,0.16,-0.08,0,0.96,0.05,-0.06,0,0.000,0.147,-0.191,0,,,,,4.47,0.06,-0.14,0,4.790,4.150,-2.990,0,,,,,1687.4700000,97.0200000,-87.1800000,14.5260000,0.0310000,-0.0310000
Kepler-1464 b,1,Published Confirmed,31.77859010,0.00027340,-0.00027340,0,,,,,1.660,0.290,-0.160,0,0.148,0.026,-0.014,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5828.00,112.18,-169.63,0,1.01,0.17,-0.09,0,1.02,0.06,-0.06,0,0.030,0.147,-0.162,0,,,,,4.44,0.07,-0.13,0,3.890,2.850,-2.220,0,,,,,1151.7300000,21.5200000,-20.7500000,12.8820000,0.0210000,-0.0210000
Kepler-1464 c,1,Published Confirmed,5.32786292,0.00005389,-0.00005389,0,,,,,1.000,0.220,-0.110,0,0.089,0.020,-0.010,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5828.00,112.18,-169.63,0,1.01,0.17,-0.09,0,1.02,0.06,-0.06,0,0.030,0.147,-0.162,0,,,,,4.44,0.07,-0.13,0,3.890,2.850,-2.220,0,,,,,1151.7300000,21.5200000,-20.7500000,12.8820000,0.0210000,-0.0210000
Kepler-1465 b,1,Published Confirmed,31.82771110,0.00012190,-0.00012190,0,,,,,1.770,0.350,-0.190,0,0.158,0.031,-0.017,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4726.00,60.73,-75.37,0,0.71,0.03,-0.04,0,0.75,0.04,-0.05,0,-0.060,0.174,-0.175,0,,,,,4.62,0.02,-0.03,0,3.720,6.100,-2.060,0,,,,,359.4970000,10.6120000,-10.0300000,12.7180000,0.0240000,-0.0240000
Kepler-1466 b,1,Published Confirmed,31.17504480,0.00021570,-0.00021570,0,,,,,1.550,0.270,-0.170,0,0.138,0.024,-0.015,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5884.00,144.58,-128.07,0,1.02,0.17,-0.10,0,1.01,0.07,-0.07,0,-0.070,0.149,-0.196,0,,,,,4.43,0.07,-0.14,0,3.890,2.760,-2.180,0,,,,,631.9490000,6.1785000,-6.1785000,12.8150000,0.0230000,-0.0230000
Kepler-1467 b,1,Published Confirmed,47.05690430,0.00018350,-0.00018350,0,,,,,3.300,0.310,-0.250,0,0.294,0.028,-0.022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5332.00,179.19,-173.73,0,0.82,0.07,-0.06,0,0.86,0.06,-0.06,0,-0.070,0.159,-0.187,0,,,,,4.55,0.04,-0.07,0,4.370,6.250,-2.680,0,,,,,852.8880000,21.2515000,-21.2515000,14.1390000,0.0320000,-0.0320000
Kepler-1468 b,1,Published Confirmed,8.23984869,0.00003988,-0.00003988,0,,,,,1.730,0.410,-0.190,0,0.154,0.037,-0.017,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5893.00,162.90,-197.95,0,1.05,0.18,-0.11,0,1.04,0.08,-0.07,0,0.030,0.140,-0.164,0,,,,,4.42,0.07,-0.13,0,3.550,2.630,-1.860,0,,,,,1899.2400000,89.8200000,-89.8200000,13.8450000,0.0240000,-0.0240000
